gene,P0rep1,P0rep2,P4rep1,P4rep2,P7rep1,P7rep2,ADrep1,ADrep2
ENSMUSG00000102693.2,0,0,0,0,0,0,0,0
ENSMUSG00000064842.3,0,0,0,0,0,0,0,0
ENSMUSG00000051951.6,19,24,17,17,17,12,7,5
ENSMUSG00000102851.2,0,0,0,0,1,0,0,0
ENSMUSG00000103377.2,1,0,0,1,0,1,1,0
ENSMUSG00000104017.2,0,3,0,0,0,1,0,0
ENSMUSG00000103025.2,0,0,0,0,0,0,0,0
ENSMUSG00000089699.2,0,0,0,0,0,0,0,0
ENSMUSG00000103201.2,0,0,0,0,0,0,0,1
ENSMUSG00000103147.2,0,0,0,0,0,0,0,0
ENSMUSG00000103161.2,0,0,1,0,0,0,0,0
ENSMUSG00000102331.2,5,8,2,6,6,11,4,3
ENSMUSG00000102348.2,0,0,0,0,0,0,0,0
ENSMUSG00000102592.2,0,0,0,0,0,0,0,0
ENSMUSG00000088333.4,0,0,0,0,0,0,0,0
ENSMUSG00000102343.2,0,0,0,1,0,0,0,0
ENSMUSG00000025900.14,4,3,6,7,7,3,37,36
ENSMUSG00000102948.2,0,0,0,0,0,0,0,1
ENSMUSG00000104123.2,0,0,0,0,0,0,0,0
ENSMUSG00000025902.14,194,183,205,230,158,173,195,128
ENSMUSG00000104238.2,0,4,0,2,4,1,3,3
ENSMUSG00000102269.2,8,16,6,6,4,6,8,3
ENSMUSG00000118917.1,0,1,0,0,1,1,0,0
ENSMUSG00000103003.2,0,0,0,0,0,0,0,0
ENSMUSG00000104328.2,1,0,0,1,0,0,0,2
ENSMUSG00000102735.2,0,0,0,0,1,0,0,0
ENSMUSG00000098104.2,1,6,0,1,3,3,3,3
ENSMUSG00000102175.2,1,2,2,2,0,0,0,1
ENSMUSG00002075947.1,0,0,1,2,0,1,0,0
ENSMUSG00000103265.2,0,1,2,1,0,0,0,1
ENSMUSG00000103922.2,29,19,31,21,11,22,35,31
ENSMUSG00000033845.14,1667,1697,1585,1727,889,1015,2123,2000
ENSMUSG00000102275.2,45,55,35,41,13,24,20,15
ENSMUSG00000120403.1,1,0,0,0,1,2,1,0
ENSMUSG00000025903.15,1011,822,866,924,578,621,1314,1071
ENSMUSG00000104217.2,0,0,1,0,2,0,0,0
ENSMUSG00000033813.16,397,469,329,437,202,198,252,246
ENSMUSG00000062588.5,3,4,2,7,2,3,1,3
ENSMUSG00000103280.2,0,0,5,1,0,1,2,1
ENSMUSG00000002459.18,4,3,3,3,3,2,0,0
ENSMUSG00000091305.2,0,0,0,0,0,0,0,0
ENSMUSG00000102653.2,0,0,0,0,0,0,0,0
ENSMUSG00000085623.2,0,0,0,0,0,0,1,0
ENSMUSG00000091665.2,0,0,0,0,0,0,0,0
ENSMUSG00000033793.13,637,650,518,617,339,371,401,414
ENSMUSG00000104352.2,0,0,0,0,0,0,0,0
ENSMUSG00000104046.2,0,0,0,0,0,0,0,1
ENSMUSG00000102907.2,0,6,1,0,0,0,0,0
ENSMUSG00000025905.15,1,0,1,0,0,0,0,0
ENSMUSG00000103936.2,0,0,0,0,0,0,0,0
ENSMUSG00002076544.1,0,0,0,0,0,0,0,0
ENSMUSG00000103519.2,0,0,0,0,0,0,0,0
ENSMUSG00000033774.5,0,0,0,0,0,0,0,0
ENSMUSG00000103090.2,0,0,0,0,0,0,0,0
ENSMUSG00000090031.4,92,133,119,145,73,61,86,49
ENSMUSG00000025907.15,679,1779,1453,1522,1205,1099,2221,1552
ENSMUSG00000087247.4,0,0,0,0,0,0,0,0
ENSMUSG00000103355.2,0,0,0,0,0,2,0,0
ENSMUSG00000102706.2,0,0,0,0,0,0,0,0
ENSMUSG00000103845.2,2,0,1,0,0,0,0,2
ENSMUSG00000033740.18,0,0,0,0,0,0,0,0
ENSMUSG00000103329.3,0,0,0,0,0,0,0,0
ENSMUSG00000104385.2,0,0,0,0,0,0,0,0
ENSMUSG00000102135.2,3,2,2,2,3,1,1,0
ENSMUSG00000103282.2,0,0,0,0,0,0,0,0
ENSMUSG00000102534.2,0,0,0,0,0,0,0,0
ENSMUSG00000102213.2,0,0,0,0,0,0,0,0
ENSMUSG00000103629.2,0,0,0,0,0,0,0,0
